2025-09-08 05:44:28,086 | aci.level1.info | INFO | Initializing SeedExperience simulation
2025-09-08 05:44:28,086 | aci.level1.info | INFO | Initializing SeedExperience simulation
2025-09-08 05:44:29,140 | aci.level2.info | INFO | Memory load: episodic_memory
2025-09-08 05:44:29,140 | aci.level2.info | INFO | Memory load: episodic_memory
2025-09-08 05:44:29,178 | aci.level2.info | INFO | Memory load: autobiographical_narrative
2025-09-08 05:44:29,178 | aci.level2.info | INFO | Memory load: autobiographical_narrative
2025-09-08 05:44:48,619 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:48,619 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:49,044 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:49,044 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:49,503 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:49,503 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:49,951 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:49,951 | aci.level2.info | INFO | Memory save: autobiographical_narrative
2025-09-08 05:44:50,564 | aci.level2.info | INFO | Memory load: memory_graph
2025-09-08 05:44:50,564 | aci.level2.info | INFO | Memory load: memory_graph
2025-09-08 05:44:50,587 | aci.level1.info | INFO | Default Mode Network initialized with persistent memory
2025-09-08 05:44:50,587 | aci.level1.info | INFO | Default Mode Network initialized with persistent memory
2025-09-08 05:44:51,032 | aci.level1.info | INFO | Loaded existing episodic memories
2025-09-08 05:44:51,032 | aci.level1.info | INFO | Loaded existing episodic memories
2025-09-08 05:44:51,039 | aci.level1.info | INFO | Loaded existing narrative memories
2025-09-08 05:44:51,039 | aci.level1.info | INFO | Loaded existing narrative memories
2025-09-08 05:44:51,072 | aci.level1.info | INFO | SeedExperience initialized
2025-09-08 05:44:51,072 | aci.level1.info | INFO | SeedExperience initialized
2025-09-08 05:44:51,077 | aci.level1.info | INFO | Starting simulation
2025-09-08 05:44:51,077 | aci.level1.info | INFO | Starting simulation
2025-09-08 05:44:51,083 | aci.level2.info | INFO | Simulation step started
2025-09-08 05:44:51,083 | aci.level2.info | INFO | Simulation step started
2025-09-08 05:44:51,088 | aci.level1.info | INFO | World Event: A person resembling Plato sits down on the bench
2025-09-08 05:44:51,088 | aci.level1.info | INFO | World Event: A person resembling Plato sits down on the bench
2025-09-08 05:44:51,092 | aci.level1.info | INFO | World Event: Conversation started with Plato
2025-09-08 05:44:51,092 | aci.level1.info | INFO | World Event: Conversation started with Plato
2025-09-08 05:44:51,096 | aci.level1.info | INFO | Thought: This bench is uncomfortable.
2025-09-08 05:44:51,096 | aci.level1.info | INFO | Thought: This bench is uncomfortable.
2025-09-08 05:44:51,102 | aci.level2.info | INFO | Starting DMN step
2025-09-08 05:44:51,102 | aci.level2.info | INFO | Starting DMN step
2025-09-08 05:44:51,106 | aci.level3.debug | DEBUG | World step completed
2025-09-08 05:44:51,106 | aci.level3.debug | DEBUG | World step completed
2025-09-08 05:44:51,108 | aci.level1.info | INFO | Processing input
